mint,creator_address,price_usd,fdv_usd,liquidity_usd,volume_h24_usd,price_change_h24_pct,volume_to_liquidity_ratio,fdv_to_liquidity_ratio,liquidity_to_volume_ratio,creator_balance_pct,top_10_holders_pct,total_lp_locked_usd,has_mint_authority,has_freeze_authority,is_lp_locked_95_plus,token_supply,total_insider_networks,largest_insider_network_size,total_insider_token_amount,rugcheck_risk_level,pump_dump_risk_score,time_of_day_utc,day_of_week_utc,is_weekend_utc,is_public_holiday_any,signal_source,grade,token_age_at_signal_seconds,checked_at_timestamp,checked_at_utc,token_age_hours_at_signal,label_status,label_ath_roi,label_final_roi,label_hit_50_percent
2v1i5pJsbQ8PZzr1yFeCGS8FgbYxHvXpZ6XEwyBUpump,HBVCpcko4ywzDu94NmwAERj29nhRH7WEDSKgctNKHywm,0.0001672,167232.0,42832.55,1460103.26,4.81,34.08863726301609,3.9043204292062925,0.029335288245298487,6989884973650.0,31.779916769935824,42066.42730833437,0,0,1,999983233470969.0,1.0,136.0,14505614409.0,unknown,45.0,19,4,0,0,alpha,LOW,147500.0,1764357295,2025-11-28 19:14:55.216076+00:00,40.97,win,53.107824552006136,,1
2wTr7CbhVx85JeJjJ4aVsMFJKcvLwDJyfyK3SKd6pump,BnSJys7v985tCpKBa1vAD1Vy24JqJ6J9fAabUjfm8Tya,0.0001227,122740.0,44227.09,2594582.63,-81.07,58.66500893456929,2.775222154566353,0.01704593620901563,0.0,30.90734823345366,66487.99764602835,0,0,1,999974103332097.0,4.0,312.0,3134523300898.0,unknown,38.0,14,0,0,1,alpha,CRITICAL,90511.0,1762181284,2025-11-03 14:48:04.181771+00:00,25.14,win,93.20525673016178,21.804691239827655,1
2wi2SbH2rcwMo7dd4S8BV3VdgiYSY3AVeURfkZzBpump,3pCQa1AK7Ur4rGBisamkySQR3XZB96pbR4frytBtNXGv,1.872e-05,18730.0,13794.97,28292.47,55.46,2.0509265333668725,1.357741263663495,0.4875845057006334,0.0,68.41919248323127,11070.397328494426,0,0,1,999993639713610.0,0.0,0.0,0.0,unknown,35.0,6,2,0,1,alpha,LOW,25230.0,1763535391,2025-11-19 06:56:31.149815+00:00,7.01,win,90.93451218356002,,1
2zmd3tU6aoYQtaciiepHXRgkV9GRmBUTD2uiEMhxpump,4jiiuxyQTgwrNeJLx81RYVAbfxrJSvLALjrxBJhi4tog,4.390241256002007e-05,42220.0,21513.32,514266.24,-23.26,23.904550297211216,1.962505089869904,0.04183303963332301,1.6195130997529554e-06,42.9865236541356,21338.82306114713,0,0,1,959819832654406.0,1.0,5.0,71305647663607.0,unknown,15.0,8,6,1,0,alpha,LOW,14928.0,1763281430,2025-11-16 08:23:50.162267+00:00,UNKNOWN,loss,21.323580473625658,-96.30750618586586,0
318ATmp975Q5m7xJQiv9f3NmBVLYQNwGAcNitGJupump,5VRJoncczvVdogkCatQAAqGqLWvT2VqzAhhpcFGc6g2v,3.406747041465343e-05,0.0,19716.27446800122,0.0,0.0,0.0,0.0,0.0,0.0,47.98719268770174,19716.27446800122,0,0,1,999939424492294.0,0.0,0.0,0.0,unknown,15.0,3,4,0,0,alpha,LOW,0.0,1762487951,2025-11-07 03:59:11.464680+00:00,UNKNOWN,loss,38.7834183886558,-81.15797879363828,0
31Di9u8AFX3uPjH3oJCbvqhX4HZQNdbjPrbG43eTpump,7hbvz77YRL8THaeH35bwQkpk9uommFMocJscuYBbZCKE,3.262e-05,32628.0,18142.07,335196.46,-41.7,18.476197038154965,1.7984717289702885,0.05412369211775088,0.0,51.92282758169718,18175.58850942478,0,0,1,999978563273991.0,0.0,0.0,0.0,unknown,25.0,13,3,0,1,alpha,LOW,43662.0,1764250759,2025-11-27 13:39:19.428636+00:00,12.13,win,57.003195908812806,,1
32jqmvA71NqFduiMppeqMPRBujF9tYCoazcmFX6Worbt,4GzQEq2BbwjAwqkoNssBw4ZeWV7wQtWyJpr66N3pgPDk,0.00028085859273532874,0.0,57386.73950829087,0.0,0.0,0.0,0.0,0.0,0.0,47.252479015339574,57386.73950829087,0,0,1,994983954215157.0,1.0,212.0,9696283733.0,unknown,38.0,14,1,0,1,alpha,LOW,0.0,1762870620,2025-11-11 14:17:00.572563+00:00,UNKNOWN,loss,13.687103851900694,-97.93383569166119,0
335J7ZUfQJMxzVpeW91LmiWX638F28TABNZbUTiZpump,2oUuhR1VhviNhtvd6H2EoC8DXRvn3DdSoKGLZq8AtReC,5.3408497220263234e-05,54221.0,24256.25,804726.42,-7.91,33.17604411234218,2.2353414068539035,0.030142231443078503,0.0,41.6929152767465,23214.002402671245,0,0,1,999987161843197.0,1.0,5.0,148216935952773.0,unknown,15.0,8,5,1,0,alpha,LOW,18021.0,1763195308,2025-11-15 08:28:28.691026+00:00,UNKNOWN,win,106.33333333333334,,1
34AeqX5MQGyrey2VnZdkeZCfM4qinp4F3X7pGxtipump,67RePoP2ygScWLjC95MZAR1rByp3fezv7zPfbgCekxyi,0.00034831484422753,369203.0,83830.13,199154.19,780.0,2.375687476567196,4.404180215395109,0.4209307873462266,0.0,33.27277454388251,81405.77650011108,0,0,1,999574253992076.0,7.0,189.0,94315796206072.0,unknown,38.0,22,5,1,0,alpha,LOW,4942710.0,1763246806,2025-11-15 22:46:46.930398+00:00,UNKNOWN,win,91.47005444646096,,1
34AeqX5MQGyrey2VnZdkeZCfM4qinp4F3X7pGxtipump,67RePoP2ygScWLjC95MZAR1rByp3fezv7zPfbgCekxyi,7.586e-05,75831.0,39777.95,33659.78,-20.0,0.8461919229120657,1.9063576680045102,1.1817650026233089,35000000000000.0,49.38050503668417,39801.499155003934,0,0,1,999525112502449.0,10.0,450.0,127965309179835.0,unknown,52.0,7,6,1,0,alpha,LOW,6185467.0,1764489563,2025-11-30 07:59:23.714802+00:00,1718.19,win,143.37568058076224,-71.7211131276467,1
